Country,Year,Region,GiniIndex,PctIncShareFourth20,PctIncShareHighest10,PctIncShareHighest20,PctIncShareLowest10,PctIncShareLowest20,PctIncShareSecond20,PctIncShareThird20
China,2016,Asia & Pacific,38.5,22.2,29.4,45.3,2.7,6.5,10.7,15.3
Hong Kong,..,Asia & Pacific,,,,,,,,
Macao,..,Asia & Pacific,,,,,,,,
Colombia,2018,South/Latin America,50.4,19.9,39.7,55.4,1.4,4,8.1,12.6
Comoros,2014,Arab States,45.3,22.2,33.7,50.4,1.6,4.5,9.1,13.9
"Congo, The Democratic Republic of the",2012,Africa,42.1,21.6,32,48.4,2.1,5.5,10,14.5
Congo,2011,Africa,48.9,20.7,37.9,53.7,1.6,4.2,8.2,13.2
Costa Rica,2018,South/Latin America,48,20.9,36.3,53.3,1.5,4.3,8.5,13
Côte d'Ivoire,2015,Africa,41.5,21.6,31.9,47.8,2.1,5.7,10.2,14.6
Croatia,2017,Europe,30.4,23.4,22.8,37.9,2.7,7.4,13.3,18
Cuba,..,South/Latin America,,,,,,,,
Curacao,..,South/Latin America,,,,,,,,
Cyprus,2017,Europe,31.4,21.9,25.5,40.2,3.4,8.4,12.9,16.7
Czech Republic,2017,Europe,24.9,22,21.5,35.4,4.2,10.2,14.7,17.7
Denmark,2017,Europe,28.7,21.9,24,38,3.7,9.1,13.7,17.2
Djibouti,2017,Arab States,41.6,21.5,32.3,47.6,1.9,5.4,10.4,15.1
Dominica,..,South/Latin America,,,,,,,,
Dominican Republic,2018,South/Latin America,43.7,20.4,35.2,50.1,2.3,5.8,9.8,13.9
Ecuador,2018,South/Latin America,45.4,21.2,34.4,51,1.6,4.6,9.2,14
Egypt,2017,Middle east,31.5,21,26.9,41,3.8,9,12.8,16.2
El Salvador,2018,South/Latin America,38.6,22.1,29.4,45.3,2.4,6.2,10.9,15.5
Equatorial Guinea,..,Africa,,,,,,,,
Eritrea,..,Africa,,,,,,,,
Estonia,2017,Europe,30.4,23.7,22.5,38.4,3,8.1,12.8,17
Ethiopia,2015,Africa,35,21.2,28.5,43,2.9,7.3,12.1,16.3
Faroe Islands,..,Europe,,,,,,,,
Fiji,2013,Asia & Pacific,36.7,21.3,29.7,44.7,3.1,7.5,11.3,15.2
Finland,2017,Europe,27.4,22.4,22.6,36.9,3.8,9.4,14,17.4
France,2017,Europe,31.6,21.9,25.8,40,3.2,8.1,13,16.9
French Polynesia,..,Asia & Pacific,,,,,,,,
Gabon,2017,Africa,38,23,27.7,44.4,2.2,6,10.8,15.7
Gambia,2015,Africa,35.9,21.8,28.7,43.6,3,7.4,11.6,15.7
Georgia,2018,Europe,36.4,22.6,27.5,43.2,2.4,6.5,11.5,16.2
Germany,2016,Europe,31.9,22.8,24.6,39.6,2.9,7.6,12.8,17.1
Ghana,2016,Africa,43.5,22.3,32.2,48.6,1.6,4.7,9.6,14.8
Greece,2017,Europe,34.4,23,25.9,41.1,2.4,6.6,12.3,17.1
Greenland,..,Europe,,,,,,,,
Grenada,..,South/Latin America,,,,,,,,
Guam,..,Asia & Pacific,,,,,,,,
Guatemala,2014,South/Latin America,48.3,20.1,38,53.6,1.7,4.5,8.6,13.2
Guinea,2012,Africa,33.7,22.4,26.4,41.5,3,7.6,12.2,16.4
Guinea-Bissau,2010,Africa,50.7,18.3,42,56.7,1.6,4.5,8.3,12.2
Guyana,1998,South/Latin America,44.6,21.5,34.1,49.6,1.5,4.5,9.7,14.7
Haiti,2012,South/Latin America,41.1,21.9,31.2,47.1,2.1,5.5,10.3,15.2
